Date,DIA
2007-01-29,81.79995727539062
2007-01-30,82.0227279663086
2007-01-31,82.73058319091797
2007-02-01,83.0582046508789
2007-02-02,82.92056274414062
2007-02-05,83.01886749267578
2007-02-06,82.99925231933594
2007-02-07,83.09099578857422
2007-02-08,82.88127899169922
2007-02-09,82.49462127685547
2007-02-12,82.30451965332031
2007-02-13,82.98612976074219
2007-02-14,83.54310607910156
2007-02-15,83.73322296142578
2007-02-16,83.75285339355469
2007-02-20,83.81198120117188
2007-02-21,83.62158966064453
2007-02-22,83.24079895019531
2007-02-23,82.9913558959961
2007-02-26,82.94534301757812
2007-02-27,79.83344268798828
2007-02-28,80.52933502197266
2007-03-01,80.38494110107422
2007-03-02,79.41327667236328
2007-03-05,78.97998809814453
2007-03-06,80.13545989990234
2007-03-07,80.09602355957031
2007-03-08,80.62128448486328
2007-03-09,80.74595642089844
2007-03-12,80.85105895996094
2007-03-13,79.45262908935547
2007-03-14,79.87278747558594
2007-03-15,79.9582290649414
2007-03-16,79.65352630615234
2007-03-19,80.46284484863281
2007-03-20,80.8182373046875
2007-03-21,81.7854995727539
2007-03-22,81.89077758789062
2007-03-23,82.04871368408203
2007-03-26,81.83159637451172
2007-03-27,81.52233123779297
2007-03-28,80.93666076660156
2007-03-29,81.13404083251953
2007-03-30,81.32486724853516
2007-04-02,81.36442565917969
2007-04-03,82.24613952636719
2007-04-04,82.37112426757812
2007-04-05,82.55536651611328
2007-04-09,82.68043518066406
2007-04-10,82.64090728759766
2007-04-11,82.1869125366211
2007-04-12,82.52247619628906
2007-04-13,83.00946044921875
2007-04-16,83.59504699707031
2007-04-17,84.06224822998047
2007-04-18,84.25304412841797
2007-04-19,84.37810516357422
2007-04-20,85.33040618896484
2007-04-23,85.06697845458984
2007-04-24,85.27114868164062
2007-04-25,86.0218734741211
2007-04-26,86.40384674072266
2007-04-27,86.42362976074219
2007-04-30,86.05484771728516
2007-05-01,86.46319580078125
2007-05-02,87.02289581298828
2007-05-03,87.18756866455078
2007-05-04,87.4180908203125
2007-05-07,87.61559295654297
2007-05-08,87.66829681396484
2007-05-09,87.96469116210938
2007-05-10,87.25999450683594
2007-05-11,87.95809173583984
2007-05-14,88.0634536743164
2007-05-15,88.32685852050781
2007-05-16,88.98545837402344
2007-05-17,88.86032104492188
2007-05-18,89.47042846679688
2007-05-21,89.2723388671875
2007-05-22,89.24588775634766
2007-05-23,89.2723388671875
2007-05-24,88.73750305175781
2007-05-25,89.06759643554688
2007-05-29,89.28557586669922
2007-05-30,89.98545837402344
2007-05-31,89.9920425415039
2007-06-01,90.2033920288086
2007-06-04,90.17034912109375
2007-06-05,89.78734588623047
2007-06-06,88.80358123779297
2007-06-07,87.50936889648438
2007-06-08,88.54601287841797
2007-06-11,88.63848876953125
2007-06-12,87.76688385009766
2007-06-13,89.00821685791016
2007-06-14,89.60252380371094
2007-06-15,90.03813934326172
2007-06-18,89.87290954589844
2007-06-19,90.0910873413086
2007-06-20,89.1523208618164
2007-06-21,89.49605560302734
2007-06-22,88.57047271728516
2007-06-25,88.3390884399414
2007-06-26,87.7969970703125
2007-06-27,88.66959381103516
2007-06-28,88.64979553222656
2007-06-29,88.72251892089844
2007-07-02,89.42999267578125
2007-07-03,89.70764923095703
2007-07-05,89.6216812133789
2007-07-06,89.9985122680664
2007-07-09,90.22992706298828
2007-07-10,89.26463317871094
2007-07-11,89.8464584350586
2007-07-12,91.45954132080078
2007-07-13,91.83643341064453
2007-07-16,92.20003509521484
2007-07-17,92.42486572265625
2007-07-18,92.11410522460938
2007-07-19,92.48429107666016
2007-07-20,91.69934844970703
2007-07-23,92.14281463623047
2007-07-24,90.85868072509766
2007-07-25,91.01090240478516
2007-07-26,89.16427612304688
2007-07-27,87.4433364868164
2007-07-30,88.38981628417969
2007-07-31,87.48306274414062
2007-08-01,88.30379486083984
2007-08-02,89.21057891845703
2007-08-03,87.49626922607422
2007-08-06,88.8266830444336
2007-08-07,89.3893051147461
2007-08-08,90.3821029663086
2007-08-09,87.89342498779297
2007-08-10,87.33079528808594
2007-08-13,87.48965454101562
2007-08-14,86.37106323242188
2007-08-15,85.28551483154297
2007-08-16,85.48404693603516
